,Cohorte,log(qx),Edad
10283,2000,-3.530850589889026,71
10284,2000,-3.4336172729182666,72
10285,2000,-3.3348480011206214,73
10286,2000,-3.248304635559013,74
10287,2000,-3.13522425237259,75
10288,2000,-3.034057387875659,76
10289,2000,-2.9291957497537466,77
10290,2000,-2.820099704910833,78
10291,2000,-2.7170404929403427,79
10292,2000,-2.612376451033928,80
10293,2000,-2.5224839141433666,81
10294,2000,-2.423510560922926,82
10295,2000,-2.3448664852506518,83
10296,2000,-2.2407376896679656,84
10297,2000,-2.158917743181633,85
10298,2000,-2.022456476197179,86
10299,2000,-1.947291102132245,87
10300,2000,-1.8520828864111603,88
10301,2000,-1.7848037166620492,89
10302,2000,-1.6943968516612913,90
10303,2000,-1.5616959164486792,91
10304,2000,-1.5105432554598859,92
10305,2000,-1.4176199231627995,93
10306,2000,-1.3525888286547194,94
10307,2000,-1.2917117186339429,95
10308,2000,-1.2243796141035987,96
10309,2000,-1.1604345023114526,97
10310,2000,-1.099913134401158,98
10311,2000,-1.0428465107622524,99
10312,2000,-0.989210948150784,100
10313,2000,-0.9389709955973756,101
10314,2000,-0.8920860431773376,102
10315,2000,-0.8484451849790878,103
10316,2000,-0.8079970222388874,104
10317,2000,-0.770589937702601,105
10318,2000,-0.7360964360963745,106
10319,2000,-0.704410372838656,107
10320,2000,-0.6753662032648582,108
10321,2000,-0.6488049892092097,109
10322,2000,0.0,110+
10323,2001,-5.437579433881544,0
10324,2001,-7.875339305243843,1
10325,2001,-8.254828926948747,2
10326,2001,-8.377431249041079,3
10327,2001,-8.517193191416238,4
10328,2001,-8.622553707074063,5
10329,2001,-8.87386813535497,6
10330,2001,-9.028018815182229,7
10331,2001,-8.679712120914012,8
10332,2001,-8.804875263868018,9
10333,2001,-8.622553707074063,10
10334,2001,-9.028018815182229,11
10335,2001,-8.679712120914012,12
10336,2001,-8.622553707074063,13
10337,2001,-8.334871634622283,14
10338,2001,-8.078938260485081,15
10339,2001,-7.641724454062337,16
10340,2001,-7.369790738578696,17
10341,2001,-7.418580902748128,18
10342,2001,-7.143477612503207,19
10343,2001,-7.05857816871672,20
10344,2001,-7.182192124683898,21
10345,2001,-7.082108666126914,22
10346,2001,-7.182192124683898,23
10347,2001,-7.182192124683898,24
10348,2001,-7.156216638280637,25
10349,2001,-7.1308988302963465,26
10350,2001,-7.082108666126914,27
10351,2001,-7.002065958453378,28
10352,2001,-6.969630682700225,29
10353,2001,-6.849486370858162,30
10354,2001,-6.776727016575733,31
10355,2001,-6.717134919373487,32
10356,2001,-6.615085665019317,33
10357,2001,-6.5856717798130235,34
10358,2001,-6.502290170873972,35
