,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
60,0.0073797947617111,0.0072607619271781,0.0071436421566591,0.0070284049241834,0.0069150201838192,0.0068034583623519,0.0066936903520649,0.0065856875036249,0.0064794216190684,0.0063748649448893,0.0062719901652249,0.0061707703951426,0.00607117917402,0.0059731904590243,0.0058767786186841,0.0057819184265554,0.0056885850549799,0.0055967540689343,0.0055064014199695,0.0054175034402381,0.0053300368366107,0.0052439786848775
61,0.0077538939794246,0.0076266259272202,0.0075014389158086,0.0073782991728868,0.0072571734658866,0.0071380290936213,0.0070208338780524,0.0069055561561752,0.0067921647720217,0.0066806290687805,0.0065709188810296,0.0064630045270845,0.0063568568014565,0.0062524469674223,0.0061497467497022,0.0060487283272469,0.0059493643261292,0.005851627812542,0.0057554922858994,0.0056609316720399,0.0055679203165311,0.0054764329780737
62,0.0082476259147648,0.0081105960069425,0.007975833661187,0.007843301654503,0.007712963365022,0.0075847827626213,0.0074587243996792,0.0073347534019644,0.0072128354596558,0.0070929368184957,0.0069750242710703,0.0068590651482183,0.0067450273105661,0.0066328791401862,0.0065225895323807,0.0064141278875837,0.0063074641033856,0.0062025685666749,0.0060994121458974,0.0059979661834298,0.0058982024880689,0.0058000933276316
63,0.0087851182059122,0.0086358847501487,0.0084891755265151,0.00834494820263,0.0082031611437728,0.0080637734018002,0.0079267447042253,0.0077920354434557,0.0076596066661907,0.0075294200629747,0.0074014379579047,0.0072756232984906,0.0071519396456666,0.0070303511639509,0.0069108226117535,0.0067933193318277,0.0066778072418668,0.0065642528252413,0.0064526231218763,0.0063428857192671,0.006235008743631,0.0061289608511929
64,0.0092851934338973,0.009122237672694,0.0089621289208181,0.0088048178860497,0.008650256114005,0.0084983959744388,0.0083491906477533,0.0082025941117074,0.008058561128328,0.0079170472310177,0.0077780087118577,0.0076414026091048,0.0075071866948774,0.0073753194630314,0.0072457601172201,0.0071184685591394,0.0069934053769531,0.0068705318338982,0.0067498098570648,0.0066312020263535,0.006514671563601,0.0064001823218795
65,0.00996624573474,0.0097917459872995,0.0096202867989106,0.0094518157023634,0.0092862811180028,0.0091236323393345,0.0089638195188428,0.0088067936540173,0.0086525065735868,0.0085009109239575,0.0083519601558543,0.0082056085111612,0.00806181100996,0.0079205234377634,0.0077817023329427,0.0076453049743444,0.0075112893690963,0.0073796142405984,0.0072502390167001,0.0071231238180549,0.0069982294466579,0.0068755173745581
66,0.0105701686620166,0.0103831086477644,0.0101993420583439,0.0100188115044177,0.0098414605757821,0.0096672338253975,0.0094960767536531,0.0093279357928635,0.0091627582919944,0.0090004925016161,0.0088410875590799,0.0086844934739167,0.0085306611134558,0.0083795421886597,0.0082310892401727,0.008085255624582,0.0079419955008879,0.0078012638171803,0.0076630162975195,0.0075272094290186,0.0073938004491254,0.0072627473331006
67,0.0110658466905254,0.0108606641244992,0.0106592656575369,0.0104615822503249,0.0102675460956012,0.0100770905971835,0.0098901503493175,0.0097066611163412,0.0095265598126596,0.0093497844830303,0.0091762742831532,0.009005969460563,0.008838811335819,0.0086747422839905,0.0085137057164339,0.0083556460628566,0.0082005087536663,0.0080482402026004,0.0078987877896334,0.0077520998441576,0.0076081256284339,0.0074668153213107
68,0.0118089268236566,0.0115891862980158,0.0113735113134934,0.0111618275139093,0.0109540618711892,0.0107501426628205,0.0105499994496469,0.0103535630539982,0.0101607655381519,0.0099715401831231,0.0097858214677789,0.009603545048275,0.009424647737809,0.0092490674866887,0.0090767433627109,0.0089076155318471,0.0087416252392329,0.0085787147904572,0.0084188275331475,0.0082619078388484,0.0081079010851883,0.0079567536383327
69,0.0126200560541355,0.0123827848451486,0.0121499473286906,0.0119214616721398,0.011697247515387,0.0114772259457557,0.0112613194732944,0.0110494520064416,0.0108415488280545,0.0106375365718027,0.0104373431989209,0.010240897975316,0.0100481314490275,0.0098589754280361,0.0096733629584162,0.0094912283028286,0.0093125069193517,0.0091371354406442,0.0089650516534372,0.0087961944783522,0.0086305039500397,0.0084679211976359
